City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,zhangjiakou,40.81,114.8794,6.76,48,100,1.21,CN,1682013600
328,zaozersk,69.4005,32.4476,2.98,99,100,10.72,RU,1682013600
329,plainview,40.7765,-73.4673,15.25,44,0,1.9,US,1682013600
330,blama,7.8736,-11.3433,31.36,59,94,2.99,SL,1682013600
331,kristinehamn,59.3098,14.1081,15.31,54,23,1.61,SE,1682013600
332,broome,42.2506,-75.833,15.23,54,75,0.89,US,1682013600
333,trairi,-3.2778,-39.2689,29.1,70,92,3.43,BR,1682013600
334,pisco,-13.7,-76.2167,25.03,65,0,3.44,PE,1682013600
335,yatou,37.15,122.3833,10.9,41,3,9.12,CN,1682013600
336,itaituba,-4.2761,-55.9836,34.09,59,75,1.14,BR,1682013600
337,constantia,44.1833,28.65,11.38,85,98,5.25,RO,1682013600
338,emerald,-23.5333,148.1667,18.16,75,8,2.59,AU,1682013600
339,midvagur,62.0511,-7.1939,10.46,76,7,2.46,FO,1682013600
340,nikolayevsk-on-amure,53.1406,140.73,-1.8,96,100,3.88,RU,1682013600
341,kolosovka,56.4678,73.611,0.56,59,30,3.52,RU,1682013600
342,vodnyy,63.5046,53.4095,0.64,98,100,2.66,RU,1682013600
343,labytnangi,66.6572,66.4183,-2.1,93,99,3.2,RU,1682013600
344,tymovskoye,50.8456,142.655,0.07,99,100,1.31,RU,1682013600
345,mega,4.05,38.3,17.03,78,61,2.56,ET,1682013600
346,leh,34.1667,77.5833,-2.02,73,82,1.31,IN,1682013600
347,raja,8.4596,25.678,32.4,20,62,1.84,SS,1682013600
348,kiunga,-6.1219,141.2906,22.49,100,100,0.26,PG,1682013600
349,selfoss,63.9331,-20.9971,9.54,68,32,3.34,IS,1682013600
350,xapuri,-10.6517,-68.5044,22.34,97,100,2.3,BR,1682013600
351,el calafate,-50.3408,-72.2768,10.81,69,40,3.18,AR,1682013600
352,altai,46.3722,96.2583,-4.98,33,17,1.77,MN,1682013600
353,kingaroy,-26.5333,151.8333,13.43,77,2,4.12,AU,1682013600
354,siwa oasis,29.2041,25.5195,23.81,19,2,3.43,EG,1682013600
355,mainpuri,27.2333,79.0167,27.86,33,89,2.62,IN,1682013600
356,semera,11.501,41.201,30.79,45,17,7.88,ET,1682013600
357,alesund,62.4723,6.1549,10.23,80,20,3.16,NO,1682013600
358,blagoveshchensk,50.2667,127.5333,1.34,40,20,7.43,RU,1682013600
359,san mariano,7.5,126.0,23.82,96,90,0.29,PH,1682013600
360,rasshevatskaya,45.5748,41.035,12.08,97,100,1.58,RU,1682013600
361,happy valley-goose bay,53.3168,-60.3315,6.17,70,75,2.54,CA,1682013600
362,el colomo,19.05,-104.25,29.29,55,15,4.02,MX,1682013600
